ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
1	cosine	24.0	0.0	18.0	840.6087662310674	165.34442369531752	72.0	90.0	1114.69221375	511.537032839	603.155180915	2.17910364684	1.34664745982	0.546184960957768	9.230690864919054e-05	0.006092255970846575
2	cosine	24.0	0.0	22.0	1436.9136551191832	207.87492082322208	66.0	94.0	1860.83070539	980.358279546	880.472425844	1.89811290853	1.20375967733	0.1731361222001596	0.11795090932869162	7.784760015693647
3	cosine	24.0	14.0	16.0	2224.849821465762	190.5604576989587	78.0	56.0	2716.33194731	1888.32093609	828.011011214	1.43849061639	1.11622074977	0.24032900666012402	0.04995439257990764	3.2969899102739046
4	cosine	24.0	22.0	18.0	242.1996166634443	58.27644001350817	94.0	62.0	338.114592532	147.4626722	190.651920332	2.29288258165	1.50691690624	0.6986049570427901	8.649527501118009e-07	5.708688150737886e-05
5	cosine	24.0	12.0	8.0	437.8250817125429	59.072493607573	80.0	56.0	518.968440798	287.043714068	231.92472673	1.80797702706	1.18521170204	0.20514059172313384	0.08010054349500118	5.286635870670078
6	cosine	24.0	8.0	18.0	181.853724506482	19.881277274764813	54.0	90.0	227.447758533	142.696853462	84.7509050708	1.5939227321	1.16611237731	0.4660934930109443	0.0007091933677268703	0.04680676226997344
7	cosine	24.0	2.0	6.0	2606.654100323449	229.6571366734892	92.0	90.0	3031.19541002	2070.41227516	960.783134854	1.46405401783	1.10722077021	0.35730409231162236	0.007220362910358929	0.4765439520836893
8	cosine	24.0	0.0	20.0	2335.504792567715	359.5065722477428	82.0	56.0	2868.15817014	1481.89710995	1386.26106019	1.935463772	1.1990119004	0.3425884971194647	0.009504204798824281	0.6272775167224026
9	cosine	24.0	16.0	6.0	1191.138118317385	203.68358549227355	90.0	80.0	1751.20217392	940.303679408	810.898494516	1.86237936985	1.3599733654	0.6912185145155304	1.1110863147209105e-06	7.33316967715801e-05
10	cosine	24.0	20.0	18.0	2366.5207611752485	110.38995881271823	92.0	56.0	2614.96799839	2038.18498975	576.783008642	1.28298854694	1.04225359482	0.28521648638000957	0.025433721553733073	1.6786256225463827
11	cosine	24.0	12.0	16.0	318.02338931712745	48.88033612811416	54.0	92.0	382.200649361	216.506468326	165.694181035	1.76530822527	1.26489404299	0.38097538462867714	0.004551476929324292	0.30039747733540323
12	cosine	24.0	16.0	4.0	688.2402686674872	70.19471655339657	64.0	76.0	823.477160693	578.387726612	245.089434081	1.42374591093	1.1370416394	0.23206348263538362	0.05606292947658623	3.7001533454546913
13	cosine	24.0	0.0	20.0	256.80350105262863	33.828703207745384	52.0	78.0	332.405656982	185.29263885	147.113018132	1.79394960882	1.20746998199	0.26154605694066657	0.03668290960514206	2.421072033939376
14	cosine	24.0	12.0	22.0	1478.6837119435024	137.90616959787468	80.0	90.0	1733.04779908	1246.58257627	486.465222809	1.39023906805	1.16732633079	0.5294439685650871	0.00014471494025179	0.00955118605661814
15	cosine	24.0	2.0	6.0	937.7406387445425	142.86347726252112	92.0	64.0	1433.76373901	772.827750692	660.935988318	1.85521772184	1.21039171081	0.25002703725741965	0.04347701138065798	2.8694827511234267
16	cosine	24.0	10.0	6.0	717.0396361134868	87.40639185637878	88.0	52.0	866.915986459	553.309681866	313.606304593	1.56678260813	1.19623640782	0.4469134319682559	0.0011082524137469671	0.07314465930729983
17	cosine	24.0	14.0	20.0	3704.100992884378	778.1786132764897	56.0	92.0	4606.61149152	1560.16568967	3046.44580185	2.95264248023	1.16695601922	0.3046122828339243	0.01851739807192879	1.2221482727473
18	cosine	24.0	16.0	22.0	1478.1303045837496	180.3562730887397	64.0	94.0	1952.71357851	1238.52568504	714.187893464	1.57664358688	1.22246879784	0.5882989111939285	2.8186150392135097e-05	0.0018602859258809164
19	cosine	24.0	2.0	6.0	3098.0899018971377	387.3950336819566	92.0	54.0	4402.42775506	2619.53670055	1782.89105451	1.68061312298	1.18616164036	0.329034385620019	0.012142999793130991	0.8014379863466454
20	cosine	24.0	14.0	22.0	321.79610786645463	65.4568248852163	62.0	92.0	447.481774472	208.983607878	238.498166594	2.14122906106	1.37470897836	0.7427273753823348	1.840816943983092e-07	1.2149391830288407e-05
21	cosine	24.0	22.0	2.0	7335.626439228411	597.4861424680358	94.0	64.0	8630.94805018	6539.4787702	2091.46927999	1.31982201541	1.11969800275	0.28679571920704017	0.024799403568754007	1.6367606355377644
22	cosine	24.0	12.0	0.0	5553.147403388885	438.0287523803649	58.0	48.0	6419.85905202	4737.37541348	1682.48363853	1.35515100487	1.12982295453	0.3616851819772791	0.0066412775630506635	0.4383243191613438
23	cosine	24.0	18.0	16.0	28.502875997637688	2.801226057372864	52.0	62.0	36.2219976425	21.3586503306	14.8633473119	1.69589356452	1.11475998538	0.288938436764888	0.023960016832411366	1.58136111093915
24	cosine	24.0	12.0	18.0	951.6172463949474	39.92809824854137	84.0	90.0	1010.030457	870.093220167	139.937236833	1.16083016577	1.04826819054	0.38971641764936643	0.003815162264044798	0.2518007094269567
25	cosine	24.0	22.0	18.0	4126.819171077928	320.7675211560869	94.0	64.0	4566.3779522	3430.92817305	1135.44977914	1.33094536576	1.13836196459	0.5267472701088866	0.00015540488229038395	0.01025672223116534
26	cosine	24.0	4.0	6.0	18118.8100229158	1129.1021510228472	76.0	60.0	20942.0424647	16268.008762	4674.03370271	1.28731443234	1.08063258918	0.25927526439921084	0.037948748625126726	2.5046174092583637
27	cosine	24.0	18.0	20.0	346.3247309237552	58.351112469064375	56.0	76.0	502.321788892	198.526992608	303.794796283	2.53024428715	1.13599155561	0.32477853075510776	0.013093115992743426	0.8641456555210661
28	cosine	24.0	18.0	20.0	573.0569106933332	132.81941516658685	56.0	92.0	854.836127549	303.976441732	550.859685817	2.81217887372	1.21043212071	0.3395411912439763	0.010049245916082774	0.663250230461463
29	cosine	24.0	18.0	8.0	1889.0753375107263	338.2367100776381	90.0	76.0	2679.79631323	1204.56751492	1475.22879831	2.22469581823	1.27561816282	0.4073730529465734	0.002644516177854241	0.1745380677383799
