ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
1	cosine	24.0	0.0	18.0	840.6087662310673	165.34442369531754	72.0	90.0	1114.69221375	511.537032839	603.155180915	2.1791036468400002	1.34664745982	0.5461849609577679	9.230690864919054e-05	0.006092255970846575	0.001998001998001998	0.001998001998001998	0.01981523631008167
2	cosine	24.0	0.0	22.0	1436.9136551191834	207.87492082322208	66.0	94.0	1860.83070539	980.3582795460001	880.472425844	1.89811290853	1.2037596773299999	0.1731361222001596	0.11795090932869162	7.784760015693648	0.9270729270729271	0.9270729270729271	0.9548718661018126
3	cosine	24.0	14.0	16.0	2224.849821465762	190.56045769895871	78.0	56.0	2716.33194731	1888.32093609	828.011011214	1.43849061639	1.11622074977	0.240329006660124	0.049954392579907636	3.2969899102739046	0.6663336663336663	0.6663336663336663	0.8153785549088876
4	cosine	24.0	22.0	18.0	242.19961666344432	58.276440013508164	94.0	62.0	338.114592532	147.4626722	190.651920332	2.29288258165	1.5069169062399999	0.6986049570427901	8.649527501118009e-07	5.708688150737886e-05	5.708688150737886e-05	5.708688150737886e-05	0.002558883656384516
5	cosine	24.0	12.0	8.0	437.8250817125429	59.072493607573	80.0	56.0	518.9684407980001	287.043714068	231.92472673	1.8079770270599997	1.18521170204	0.20514059172313384	0.08010054349500118	5.286635870670079	0.8261738261738262	0.8261738261738262	0.9009530755257996
6	cosine	24.0	8.0	18.0	181.85372450648202	19.881277274764813	54.0	90.0	227.44775853299998	142.696853462	84.7509050708	1.5939227321	1.1661123773100002	0.4660934930109443	0.0007091933677268702	0.046806762269973434	0.022977022977022976	0.022977022977022976	0.12625248214000412
7	cosine	24.0	2.0	6.0	2606.6541003234493	229.6571366734892	92.0	90.0	3031.19541002	2070.41227516	960.783134854	1.4640540178299999	1.1072207702099999	0.3573040923116224	0.00722036291035893	0.4765439520836893	0.19880119880119881	0.187195797935457	0.4750549206535765
8	cosine	24.0	0.0	20.0	2335.504792567715	359.50657224774284	82.0	56.0	2868.15817014	1481.89710995	1386.26106019	1.9354637719999999	1.1990119004000002	0.3425884971194647	0.00950420479882428	0.6272775167224026	0.24975024975024976	0.23023859562824234	0.5269110689152864
9	cosine	24.0	16.0	6.0	1191.1381183173849	203.68358549227355	90.0	80.0	1751.20217392	940.303679408	810.898494516	1.8623793698500002	1.3599733654	0.6912185145155304	1.1110863147209105e-06	7.33316967715801e-05	7.33316967715801e-05	7.33316967715801e-05	0.0030467980060643876
10	cosine	24.0	20.0	18.0	2366.5207611752485	110.38995881271823	92.0	56.0	2614.96799839	2038.18498975	576.7830086419999	1.28298854694	1.04225359482	0.2852164863800096	0.025433721553733076	1.6786256225463827	0.46853146853146854	0.4583683064087052	0.6866851113298932
11	cosine	24.0	12.0	16.0	318.0233893171274	48.88033612811416	54.0	92.0	382.200649361	216.50646832599998	165.694181035	1.76530822527	1.26489404299	0.3809753846286771	0.0045514769293242925	0.30039747733540323	0.13986013986013987	0.13112023925498548	0.39323494295511946
12	cosine	24.0	16.0	4.0	688.2402686674872	70.19471655339657	64.0	76.0	823.4771606930001	578.3877266119999	245.08943408099998	1.42374591093	1.1370416394	0.2320634826353836	0.05606292947658623	3.7001533454546913	0.7152847152847153	0.7152847152847153	0.8359106374118884
13	cosine	24.0	0.0	20.0	256.80350105262863	33.828703207745384	52.0	78.0	332.405656982	185.29263885	147.113018132	1.79394960882	1.20746998199	0.26154605694066657	0.03668290960514206	2.421072033939376	0.5814185814185814	0.572922413097305	0.7478347641004145
14	cosine	24.0	12.0	22.0	1478.6837119435024	137.90616959787468	80.0	90.0	1733.04779908	1246.58257627	486.465222809	1.39023906805	1.16732633079	0.5294439685650871	0.00014471494025179	0.00955118605661814	0.003996003996003996	0.003996003996003996	0.03349465547856969
15	cosine	24.0	2.0	6.0	937.7406387445424	142.86347726252114	92.0	64.0	1433.76373901	772.827750692	660.935988318	1.8552177218400001	1.21039171081	0.25002703725741965	0.04347701138065798	2.8694827511234267	0.6293706293706294	0.6293706293706294	0.7933979204075668
16	cosine	24.0	10.0	6.0	717.0396361134868	87.40639185637879	88.0	52.0	866.9159864589999	553.309681866	313.606304593	1.56678260813	1.19623640782	0.4469134319682559	0.0011082524137469671	0.07314465930729983	0.04095904095904096	0.04095904095904096	0.19550907108159016
17	cosine	24.0	14.0	20.0	3704.1009928843782	778.1786132764897	56.0	92.0	4606.61149152	1560.16568967	3046.44580185	2.95264248023	1.1669560192200001	0.3046122828339243	0.01851739807192879	1.2221482727473	0.3966033966033966	0.37139989877291135	0.6767304577775584
