"","pVal","phase","peak.shape","period","qvalue"
"1",0.000845113471299775,2,18,24,0.00794063792041697
"2",0.296272926189913,20,12,20,0.676870517890217
"3",0.791948110388996,14,8,20,1
"4",5.18556307490306e-06,4,16,22,0.000165985457589318
"5",0.88452718982882,14,10,20,1
"6",0.00403180063512413,12,10,22,0.0258572814065961
"7",0.624340450253047,4,12,24,1
"8",0.0368360867678726,28,16,28,0.140320469424007
"9",3.18997039779511e-07,18,16,26,1.86739483603009e-05
"10",0.963207690405816,22,12,24,1
"11",0.157546332933393,10,8,28,0.420280383887589
"12",0.00992483935660196,18,12,20,0.0511835220592429
"13",0.457376405073772,6,6,20,0.928412485286901
"14",0.000975622255938595,18,6,20,0.00884693502485146
"15",0.797538249693912,4,12,20,1
"16",0.0211934971055705,18,8,24,0.0923260094262197
"17",0.234196635759115,16,12,20,0.563134613882616
"18",4.20892465723028e-05,18,8,22,0.000825028397544231
"19",0.313515814376673,22,12,26,0.707053318362966
"20",1.37282108810869e-07,16,8,24,9.38169427753406e-06
"21",0.954427742543404,24,6,26,1
"22",0.0712712901058497,14,12,24,0.231812419782511
"23",0.632537852462135,8,8,20,1
"24",0.303482663629103,14,6,24,0.691195445519134
"25",5.49704945372149e-05,4,14,22,0.00100855160391195
"26",0.984679189314768,6,8,20,1
"27",0.159139067346306,10,20,26,0.423085284063118
"28",0.143672136199527,10,16,28,0.391451794185465
"29",0.0254202122895141,22,8,22,0.10603908435379
"30",0.0111678498918802,14,12,24,0.0561580742854255
"31",0.000563029899560927,10,12,24,0.00587750577955672
"32",0.000144616160516764,18,10,20,0.00212024584223054
"33",0.210011467482818,14,10,24,0.521940264773475
"34",0.0402370588030626,8,8,28,0.149961512587813
"35",0.00199686347994827,16,12,28,0.0152552075016695
"36",0.00887450456251315,16,8,28,0.0470273534147413
"37",0.966032459651568,8,12,26,1
"38",0.289238082077609,20,6,20,0.664074069113747
"39",0.00324443606186797,18,16,28,0.0219918251434801
"40",0.363197652809834,12,16,24,0.786627177428363
"41",0.000148009421025207,20,10,24,0.00216238997586594
"42",0.00634504788553712,20,18,24,0.0364330435521245
"43",0.964106032738323,6,10,24,1
"44",1.69714626325081e-05,2,10,20,0.00040464911053548
